timestamp,distance,activity,startTime,duration,hour,dayOfWeek,vibe,probability
1704047400.0,0.0,1,1704038400.0,9000.0,0,2,5,0.9900000000000001
1704047400.0,0.0,1,1704038400.0,9000.0,0,2,5,0.9900000000000001
1704047400.0,0.0,1,1704038400.0,9000.0,0,2,5,0.9900000000000001
1704048300.0,0.0,1,1704039300.0,9000.0,0,2,5,0.9900000000000001
1704048300.0,0.0,1,1704039300.0,9000.0,0,2,5,0.9900000000000001
1704048300.0,0.0,1,1704039300.0,9000.0,0,2,5,0.9900000000000001
1704049200.0,0.0,1,1704047400.0,1800.0,0,2,5,0.9
1704049200.0,0.0,1,1704047400.0,1800.0,0,2,5,0.9
1704049200.0,0.0,1,1704047400.0,1800.0,0,2,5,0.9
1704050100.0,0.0,1,1704048300.0,1800.0,0,2,5,0.9
1704050100.0,0.0,1,1704048300.0,1800.0,0,2,5,0.9
1704050100.0,0.0,1,1704048300.0,1800.0,0,2,5,0.9
1704051000.0,0.0,1,1704025800.0,25200.0,1,2,1,0.9900000000000001
1704051000.0,0.0,1,1704025800.0,25200.0,1,2,1,0.9900000000000001
1704051000.0,0.0,1,1704025800.0,25200.0,1,2,1,0.9900000000000001
1704051900.0,0.0,1,1704026700.0,25200.0,1,2,1,0.9900000000000001
1704051900.0,0.0,1,1704026700.0,25200.0,1,2,1,0.9900000000000001
1704051900.0,0.0,1,1704026700.0,25200.0,1,2,1,0.9900000000000001
1704052800.0,0.0,1,1704027600.0,25200.0,1,2,1,0.9900000000000001
1704052800.0,0.0,1,1704027600.0,25200.0,1,2,1,0.9900000000000001
1704052800.0,0.0,1,1704027600.0,25200.0,1,2,1,0.9900000000000001
1704053700.0,0.0,1,1704028500.0,25200.0,1,2,1,0.9900000000000001
1704053700.0,0.0,1,1704028500.0,25200.0,1,2,1,0.9900000000000001
1704053700.0,0.0,1,1704028500.0,25200.0,1,2,1,0.9900000000000001
1704054600.0,0.0,1,1704029400.0,25200.0,2,2,1,0.9900000000000001
1704054600.0,0.0,1,1704029400.0,25200.0,2,2,1,0.9900000000000001
1704054600.0,0.0,1,1704029400.0,25200.0,2,2,1,0.9900000000000001
1704055500.0,0.0,1,1704030300.0,25200.0,2,2,1,0.9900000000000001
1704055500.0,0.0,1,1704030300.0,25200.0,2,2,1,0.9900000000000001
1704055500.0,0.0,1,1704030300.0,25200.0,2,2,1,0.9900000000000001
1704056400.0,0.0,1,1704031200.0,25200.0,2,2,1,0.9900000000000001
1704056400.0,0.0,1,1704031200.0,25200.0,2,2,1,0.9900000000000001
